total instructions,39687

integer computation,5589
branching,424
memory access,24454
mul and div,3
csr,6106
floating point operations,3106
misc,5

addi,305
xori,147
ori,1
andi,10
slli,15
srai,1
li,4555
lui,160
auipc,182
add,18
sub,9
xor,49
or,6
and,1
addiw,19
slliw,2
slli,15
srli,1
srai,1
addw,5
subw,3
mv,73
not,1
neg,2
sext.w,8
jal,138
jalr,12
beq,10
bne,9
blt,4
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,3
bltz,126
bnez,20
beqz,17
j,37
jr,1
ret,27
mret,1
lw,20575
lbu,191
sb,8
sw,2009
ld,798
sd,872
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,6095
flw,5
fmadd.s,173
fmsub.s,149
fnmsub.s,151
fnmadd.s,134
fadd.s,52
fmul.s,1
fcvt.w.s,15
feq.s,2
fcvt.s.w,1
fmv.w.x,32
fld,1679
fsd,712
fence,5


total instructions,13283

integer computation,498
branching,183
memory access,7109
mul and div,3
csr,2754
floating point operations,2730
misc,6

addi,105
ori,1
andi,10
slli,20
srai,1
li,109
lui,4
auipc,38
add,35
sub,9
or,6
and,1
addiw,20
slliw,4
srliw,1
slli,20
srli,1
srai,1
addw,14
subw,3
mv,82
not,1
neg,2
sext.w,10
jal,17
jalr,12
beq,10
bne,11
blt,6
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,4
bltz,2
bnez,19
beqz,16
j,37
jr,1
ret,28
mret,1
lw,6855
lbu,28
lhu,20
sb,8
sw,5
ld,83
sd,109
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,2743
fmv.w.x,32
fld,2698
fence,6


total instructions,173480

integer computation,30486
branching,1798
memory access,91595
mul and div,4
csr,43904
floating point operations,5687
misc,6

addi,1078
xori,838
ori,1
andi,10
slli,14
srai,1
li,26296
lui,893
auipc,813
add,18
sub,9
xor,375
or,6
and,1
addiw,19
slliw,2
slli,14
srli,2
srai,1
addw,5
subw,3
c.mv,1
mv,75
not,1
neg,2
sext.w,8
jal,800
jalr,12
beq,10
bne,10
blt,6
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,72
blez,3
bltz,764
bnez,20
beqz,17
j,37
jr,1
ret,27
mret,1
lb,2
lw,77107
lbu,835
sb,8
sw,11568
ld,1013
sd,1061
lwu,1
div,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,43893
flw,5
fmadd.s,773
fmsub.s,831
fnmsub.s,793
fnmadd.s,756
fadd.s,375
fmul.s,1
fdiv.s,1
fcvt.w.s,74
feq.s,2
fmv.w.x,32
fcvt.s.l,1
fld,1019
fsd,920
fmadd.d,27
fmsub.d,27
fnmsub.d,26
fnmadd.d,22
fsub.d,2
fence,5
nop,1


total instructions,44353

integer computation,8982
branching,589
memory access,23987
mul and div,3
csr,7952
floating point operations,2834
misc,6

addi,1032
xori,279
ori,1
andi,10
slli,14
srai,1
li,6991
lui,202
auipc,222
add,18
sub,9
xor,67
or,6
and,1
addiw,19
slliw,2
slli,14
srli,1
srai,1
addw,5
subw,3
mv,73
not,1
neg,2
sext.w,8
jal,209
jalr,12
beq,10
bne,9
blt,4
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,62
blez,3
bltz,159
bnez,20
beqz,17
j,37
jr,1
ret,27
mret,1
lw,18770
lbu,301
sb,8
sw,2847
ld,999
sd,1061
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,7941
flw,5
fmadd.s,159
fmsub.s,168
fnmsub.s,167
fnmadd.s,147
fadd.s,75
fsub.s,1
fsqrt.s,1
fcvt.w.s,12
feq.s,2
fmv.w.x,32
fld,1002
fsd,1003
fmadd.d,13
fmsub.d,17
fnmsub.d,12
fnmadd.d,18
fence,5
nop,1


total instructions,83455

integer computation,10694
branching,548
memory access,26612
mul and div,3
csr,40427
floating point operations,5166
misc,5

addi,1704
xori,253
ori,1
andi,10
slli,271
srai,1
li,6064
lui,100
auipc,298
add,161
sub,9
xor,46
or,6
and,1
addiw,19
slliw,2
slli,271
srli,1
srai,1
addw,5
subw,3
c.add,5
c.li,1233
c.mv,4
c.slli,8
mv,206
not,1
neg,2
sext.w,8
jal,122
jalr,15
beq,10
bne,9
blt,4
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,3
bltz,178
bnez,20
beqz,17
j,117
jr,6
ret,27
mret,1
lw,17952
lbu,485
sb,8
sw,3410
ld,2348
sd,2408
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,40416
fmadd.s,88
fmsub.s,90
fnmsub.s,92
fnmadd.s,99
fadd.s,85
fcvt.w.s,6
fmv.w.x,32
fld,2346
fsd,2325
feq.d,2
fmv.x.d,1
fence,5


total instructions,23237

integer computation,2051
branching,188
memory access,11816
mul and div,5
csr,8277
floating point operations,894
misc,6

addi,504
xori,83
ori,1
andi,10
slli,19
srai,1
li,1083
lui,34
auipc,109
add,35
sub,8
or,6
and,1
addiw,20
slliw,3
srliw,1
slli,19
srli,1
srai,1
addw,14
subw,3
mv,82
not,1
neg,2
sext.w,10
jal,20
jalr,12
beq,10
bne,10
blt,6
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,3
blez,4
bltz,2
bnez,19
beqz,17
j,37
jr,1
ret,28
mret,1
lw,10417
lbu,70
sb,8
sw,374
ld,464
sd,482
lwu,1
div,1
divu,1
remu,2
divw,1
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,8266
flw,4
fmadd.s,2
fnmsub.s,1
feq.s,2
fmv.w.x,32
fld,480
fsd,371
fmadd.d,2
fence,6


total instructions,3249

integer computation,962
branching,211
memory access,1408
mul and div,4
csr,455
floating point operations,201
misc,8

addi,123
xori,10
ori,1
andi,10
slli,40
srai,1
li,477
lui,19
auipc,45
add,38
sub,8
xor,4
or,6
and,1
addiw,21
slliw,2
slli,40
srli,2
srai,1
addw,10
subw,3
c.add,1
c.mv,1
mv,83
not,2
neg,2
sext.w,11
jal,33
jalr,12
beq,10
bne,11
blt,9
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,3
blez,4
bltz,4
bnez,19
beqz,18
j,38
jr,2
ret,29
mret,1
lw,953
lbu,38
sb,8
sw,157
ld,112
sd,139
lwu,1
divu,1
remu,2
divw,1
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,444
flw,6
fmadd.s,10
fmsub.s,8
fnmsub.s,9
fnmadd.s,12
fadd.s,3
fsub.s,1
feq.s,3
fmv.w.x,32
fld,53
fsd,61
fnmsub.d,3
fence,6
nop,2


total instructions,359509

integer computation,27498
branching,183
memory access,185668
mul and div,3
csr,132383
floating point operations,13769
misc,5

addi,6243
xori,2375
ori,1
andi,10
slli,19
srai,1
li,15880
lui,6
auipc,2761
add,35
sub,8
xor,1
or,6
and,1
addiw,20
slliw,3
srliw,1
slli,19
srli,1
srai,1
addw,14
subw,3
mv,74
not,1
neg,2
sext.w,12
jal,18
jalr,12
beq,10
bne,10
blt,6
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,4
bltz,2
bnez,19
beqz,17
j,37
jr,1
ret,27
mret,1
lw,166553
lbu,160
sb,8
sw,6161
ld,6370
sd,6415
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,132372
flw,4
feq.s,2
fmv.w.x,32
fld,7490
fsd,6241
fence,5


total instructions,42668

integer computation,9860
branching,1411
memory access,21374
mul and div,3
csr,8209
floating point operations,1791
misc,20

addi,602
slti,6
sltiu,7
xori,209
ori,11
andi,97
slli,244
srai,56
li,6714
lui,479
auipc,274
add,131
sub,20
xor,80
or,16
and,10
addiw,251
slliw,2
slli,244
srli,62
srai,56
addw,12
subw,17
c.add,2
c.li,10
c.lui,7
c.mv,6
c.slli,14
mv,207
not,1
neg,2
sext.w,11
jal,283
jalr,29
beq,18
bne,17
blt,73
bge,8
bltu,10
bgeu,21
bgez,2
bgtz,5
blez,3
bltz,127
bnez,257
beqz,241
j,287
jr,2
ret,27
mret,1
lb,8
lh,9
lw,17478
lbu,249
lhu,3
sb,18
sh,6
sw,2447
ld,577
sd,570
lwu,9
divu,1
remu,2
csrrw,6
csrrs,7
csrrc,9
csrrwi,9
csrrsi,10
csrrci,4
csrs,2
csrr,5
csrw,4
fscsr,1
unimp,8152
flw,9
fsw,16
fmadd.s,139
fmsub.s,148
fnmsub.s,155
fnmadd.s,143
fadd.s,67
fsub.s,1
fdiv.s,3
fcvt.w.s,21
feq.s,2
fmv.w.x,32
fld,474
fsd,487
fmadd.d,28
fmsub.d,19
fnmsub.d,25
fnmadd.d,19
fsub.d,2
fcvt.d.lu,1
fence,5
nop,1
c.nop,14


total instructions,86648

integer computation,15349
branching,1003
memory access,47102
mul and div,3
csr,19418
floating point operations,3766
misc,7

addi,101
xori,430
ori,1
andi,10
slli,13
srai,1
li,13482
lui,452
auipc,510
add,23
sub,9
xor,180
or,6
and,1
addiw,19
slliw,2
slli,13
srli,1
srai,1
addw,5
subw,3
mv,75
not,1
neg,2
sext.w,8
jal,410
jalr,12
beq,10
bne,9
blt,4
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,3
bltz,433
bnez,20
beqz,17
j,37
jr,1
ret,27
mret,1
lw,38366
lbu,509
sb,8
sw,6208
ld,986
sd,1024
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,19407
flw,4
fmadd.s,416
fmsub.s,405
fnmsub.s,369
fnmadd.s,408
fadd.s,166
fcvt.w.s,48
feq.s,2
fmv.w.x,32
fld,979
fsd,937
fence,5
nop,2


total instructions,2515

integer computation,1282
branching,197
memory access,243
mul and div,3
csr,689
floating point operations,68
misc,33

addi,517
ori,1
andi,10
slli,195
srai,1
li,115
lui,12
auipc,35
add,28
sub,8
or,6
and,1
addiw,19
slliw,2
slli,195
srli,2
srai,1
addw,11
subw,3
c.slli,20
mv,79
not,1
neg,2
sext.w,18
jal,21
jalr,18
beq,10
bne,14
blt,4
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,4
bltz,2
bnez,19
beqz,19
j,38
jr,1
ret,27
mret,1
lb,4
lw,16
lbu,28
sb,15
sw,8
ld,72
sd,99
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,678
fmadd.s,10
fmsub.s,3
fnmsub.s,10
fnmadd.s,8
fadd.s,5
fmv.w.x,32
fence,4
nop,3
c.nop,26


